EXP;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Num lanes;AVG CarLength [m];Jam Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE Error;MAE Error;RMSE Error - Masked;MAE Error - Masked
1;Scenario-2;test1;163-188;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.18008921204558936;0.11814143847000201;0.07529814518257691;0.029428708658829086
2;Scenario-2;test7;763-786;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.18036619428436468;0.11631540666481038;0.07364040285632976;0.028397317227596756
3;Scenario-2;test2;301-317;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.118808040422195;0.0675210732870529;0.04377295825569452;0.024286985734764135
4;Scenario-3;test7;764-774;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2229083441038113;0.19793440421228403;0.14455982264961606;0.08509327350125648
5;Scenario-6;test11;1162-1186;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.05642290646374274;0.034323490645155004;0.02369898105703611;0.011261759269863288
6;Scenario-2;test10;1065-1093;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.12938420447869842;0.08404324553915136;0.07627390411249957;0.03467953655224028
7;Scenario-2;test5;601-619;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.11962070209361667;0.07093263679594779;0.04551744876646617;0.02446810751440344
8;Scenario-1;test3;401-417;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.1034719810459147;0.05551817075565382;0.03194998688199514;0.016306288637921166
9;Scenario-4;test10;1064-1093;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.18287524757561366;0.15170851543738365;0.1474867878645598;0.10269235999170546
10;Scenario-3;test10;1064-1070;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.23149515356583875;0.2114183426614804;0.15351670715363858;0.09789631660024078
11;Scenario-6;test2;301-319;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04992884298088039;0.03770147261368817;0.03862215903322195;0.021589181726639924
12;Scenario-4;test1;201-218;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.1178827774912607;0.07858004444912042;0.05149936833356142;0.03160381452847977
13;Scenario-2;test6;663-698;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.14888712984107771;0.10749802068646351;0.14100627688713693;0.09053894400784294
14;Scenario-3;test0;101-119;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.12462494819677249;0.08556922806095414;0.056650944578883373;0.03493864084916649
15;Scenario-4;test4;501-518;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.20742865647011585;0.15298399338763144;0.08772035084439085;0.04896285875548528
16;Scenario-1;test6;663-675;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.26986959039289243;0.20518821183358324;0.050407778767030925;0.012720083522927514
17;Scenario-1;test9;964-977;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.22282148227286117;0.1684898040324637;0.03424357498639527;0.011417673899898406
18;Scenario-3;test11;1164-1172;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.22410706984490364;0.20561449374958304;0.16528379508818547;0.1090894899040757
19;Scenario-3;test9;965-974;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.24266545695041056;0.20000642221017836;0.13582573183709126;0.07469600015887777
20;Scenario-1;test2;265-278;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2624083313896176;0.19916671644527226;0.0996492434412291;0.04222904913519089
21;Scenario-1;test4;501-518;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.10524085174893287;0.06028778734240796;0.049249011688013086;0.024265102176472916
22;Scenario-3;test5;601-617;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.16757983915965838;0.12072200256656618;0.07089540826176574;0.042332908879120904
23;Scenario-6;test0;63-84;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.0633151967429094;0.042671064011677806;0.025531081556381594;0.011589179851725941
24;Scenario-3;test1;201-220;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.1780391248023015;0.12768027612204513;0.06493587654810914;0.0411162418229615
25;Scenario-4;test2;301-317;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.10269931969929558;0.06451165276879087;0.04821406500124571;0.02673345611013476
26;Scenario-6;test3;363-394;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.07578795885853976;0.045203862351156456;0.03215134606569023;0.019241529904662026
27;Scenario-3;test4;501-517;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.1083907845598907;0.07140449960186768;0.04863236574076142;0.027809256044740403
28;Scenario-1;test8;863-877;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2519435560809295;0.19144518880028988;0.04246946855165537;0.010498976145189099
29;Scenario-1;test0;64-70;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.19128780603910267;0.11606240242208266;0.0872334801030839;0.026018047750875076
30;Scenario-2;test9;1001-1019;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.13887243363565407;0.07493250577089348;0.03978209365064527;0.023054753579616213
31;Scenario-2;test0;65-74;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.23142953230107693;0.17422719393696193;0.06992883309430789;0.024830028364191372
32;Scenario-4;test0;101-118;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.13035938197180155;0.08089655534416691;0.052539508089547854;0.03008230173447233
33;Scenario-3;test8;901-917;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.12495603308679916;0.07862330041234436;0.047827366270050194;0.029749229850575837
34;Scenario-2;test8;905-920;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.14684878809730084;0.08330950115281402;0.03260441497740949;0.018200405021210942
35;Scenario-1;test11;1163-1177;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2459007672103874;0.18382252365130886;0.058428238148415204;0.011369633255901318
36;Scenario-2;test4;501-574;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.22657101792917766;0.16319022833225477;0.030251411678745968;0.013184100615780315
37;Scenario-4;test6;663-696;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.16145745922321214;0.12819062301475506;0.14425003009828896;0.09977373192166744
38;Scenario-1;test1;163-174;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.25858898806439357;0.1682887401625274;0.0312698025101849;0.009666198661804149
39;Scenario-4;test8;901-918;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2062228141697096;0.1519636646601129;0.09775304129264979;0.05711143422751439
40;Scenario-2;test3;401-417;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.10094093140093263;0.059061534470474575;0.04660753471068219;0.025370259552056074
41;Scenario-3;test3;365-371;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.21535418745273294;0.1603534295560745;0.09371566994981585;0.04368789113702237
42;Scenario-1;test10;1063-1077;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.20284530548407223;0.13600425507337854;0.041915299648734375;0.009705984802867135
43;Scenario-3;test6;664-678;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.19135688766849854;0.16782918166705876;0.11105609838167645;0.054382523647464584
44;Scenario-1;test7;763-773;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.23257151685324895;0.1546993185745484;0.04343308063428614;0.015799050903984518
45;Scenario-3;test2;264-281;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.23417876447867036;0.18901278219204584;0.11148388801261311;0.04816883625443974
46;Scenario-2;test11;1165-1199;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.13339709038107178;0.08585759331788781;0.1332206398666796;0.08459581922342133
47;Scenario-4;test9;963-991;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.2062625533161869;0.18238711021115922;0.14621689497069532;0.09664710977933418
48;Scenario-5;test5;571-579;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.057293208415332586;0.04379322209371182;0.045962181742792096;0.026119947123665322
49;Scenario-1;test5;601-618;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.12186780873869149;0.08338483066591677;0.056115280164138;0.03586963003269301
