EXP;NAME;Generation;Population;Tour;Mutation;MeanFit
0;nGen100_nPop100_nMat50_tour10_mutProb0-9;100;100;10;0.9;-0.006562935677870101
1;nGen100_nPop200_nMat100_tour10_mutProb0-9;100;200;10;0.9;-0.006530231826653433
2;nGen100_nPop400_nMat200_tour10_mutProb0-9;100;400;10;0.9;-0.006520826929132222
3;nGen100_nPop600_nMat300_tour10_mutProb0-9;100;600;10;0.9;-0.006521762181296376
4;nGen100_nPop800_nMat400_tour10_mutProb0-9;100;800;10;0.9;-0.006516871062685539
5;nGen120_nPop100_nMat50_tour10_mutProb0-9;120;100;10;0.9;-0.006549218216815998
6;nGen120_nPop200_nMat100_tour10_mutProb0-9;120;200;10;0.9;-0.00652739453012829
7;nGen120_nPop400_nMat200_tour10_mutProb0-9;120;400;10;0.9;-0.0065196964778164454
8;nGen120_nPop600_nMat300_tour10_mutProb0-9;120;600;10;0.9;-0.006515197633734149
9;nGen120_nPop800_nMat400_tour10_mutProb0-9;120;800;10;0.9;-0.006516379540173204
10;nGen40_nPop100_nMat50_tour10_mutProb0-9;40;100;10;0.9;-0.006673972072044056
11;nGen40_nPop200_nMat100_tour10_mutProb0-9;40;200;10;0.9;-0.006598828946626016
12;nGen40_nPop400_nMat200_tour10_mutProb0-9;40;400;10;0.9;-0.00655521302446435
13;nGen40_nPop600_nMat300_tour10_mutProb0-9;40;600;10;0.9;-0.006542767173255288
14;nGen40_nPop800_nMat400_tour10_mutProb0-9;40;800;10;0.9;-0.006538940455274526
15;nGen60_nPop100_nMat50_tour10_mutProb0-9;60;100;10;0.9;-0.006600228244226008
16;nGen60_nPop200_nMat100_tour10_mutProb0-9;60;200;10;0.9;-0.006555191492506908
17;nGen60_nPop400_nMat200_tour10_mutProb0-9;60;400;10;0.9;-0.00653295762167372
18;nGen60_nPop500_nMat250_tour10_mutProb0-5;60;500;10;0.5;-0.007799889081550663
19;nGen60_nPop500_nMat250_tour10_mutProb0-6;60;500;10;0.6000000000000001;-0.007345548054888018
20;nGen60_nPop500_nMat250_tour10_mutProb0-7;60;500;10;0.7000000000000001;-0.006903241561449202
21;nGen60_nPop500_nMat250_tour10_mutProb0-8;60;500;10;0.8;-0.006627661404137015
22;nGen60_nPop500_nMat250_tour10_mutProb0-9;60;500;10;0.9;-0.0065317478766728065
23;nGen60_nPop500_nMat250_tour2_mutProb0-5;60;500;2;0.5;-0.00912133681194144
24;nGen60_nPop500_nMat250_tour2_mutProb0-6;60;500;2;0.6000000000000001;-0.008835108165541951
25;nGen60_nPop500_nMat250_tour2_mutProb0-7;60;500;2;0.7000000000000001;-0.008481822677065275
26;nGen60_nPop500_nMat250_tour2_mutProb0-8;60;500;2;0.8;-0.007907870243309507
27;nGen60_nPop500_nMat250_tour2_mutProb0-9;60;500;2;0.9;-0.007094306524044346
28;nGen60_nPop500_nMat250_tour4_mutProb0-5;60;500;4;0.5;-0.008609227404403012
29;nGen60_nPop500_nMat250_tour4_mutProb0-6;60;500;4;0.6000000000000001;-0.008057731320607862
30;nGen60_nPop500_nMat250_tour4_mutProb0-7;60;500;4;0.7000000000000001;-0.007546069775030584
31;nGen60_nPop500_nMat250_tour4_mutProb0-8;60;500;4;0.8;-0.006968636288704256
32;nGen60_nPop500_nMat250_tour4_mutProb0-9;60;500;4;0.9;-0.0065981422143366235
33;nGen60_nPop500_nMat250_tour6_mutProb0-5;60;500;6;0.5;-0.00826268229164645
34;nGen60_nPop500_nMat250_tour6_mutProb0-6;60;500;6;0.6000000000000001;-0.007737677560127606
35;nGen60_nPop500_nMat250_tour6_mutProb0-7;60;500;6;0.7000000000000001;-0.007176404999975149
36;nGen60_nPop500_nMat250_tour6_mutProb0-8;60;500;6;0.8;-0.006748294976810855
37;nGen60_nPop500_nMat250_tour6_mutProb0-9;60;500;6;0.9;-0.006555419368779046
38;nGen60_nPop500_nMat250_tour8_mutProb0-5;60;500;8;0.5;-0.008028527543035988
39;nGen60_nPop500_nMat250_tour8_mutProb0-6;60;500;8;0.6000000000000001;-0.007510260455797153
40;nGen60_nPop500_nMat250_tour8_mutProb0-7;60;500;8;0.7000000000000001;-0.007009136303649539
41;nGen60_nPop500_nMat250_tour8_mutProb0-8;60;500;8;0.8;-0.006670668795424093
42;nGen60_nPop500_nMat250_tour8_mutProb0-9;60;500;8;0.9;-0.006536498013474154
43;nGen60_nPop600_nMat300_tour10_mutProb0-9;60;600;10;0.9;-0.006524961570026581
44;nGen60_nPop800_nMat400_tour10_mutProb0-9;60;800;10;0.9;-0.0065279217194610705
45;nGen80_nPop100_nMat50_tour10_mutProb0-9;80;100;10;0.9;-0.006578500416463328
46;nGen80_nPop200_nMat100_tour10_mutProb0-9;80;200;10;0.9;-0.006541763887496577
47;nGen80_nPop400_nMat200_tour10_mutProb0-9;80;400;10;0.9;-0.006523334768152978
48;nGen80_nPop600_nMat300_tour10_mutProb0-9;80;600;10;0.9;-0.006522799519732704
49;nGen80_nPop800_nMat400_tour10_mutProb0-9;80;800;10;0.9;-0.006520111625947875
